Customer ID,Churn,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Location ID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Zip Code Population,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
7590-VHVEG,No,Female,36,No,No,Yes,No,0,KQVCVY8549,United States,California,Los Angeles,90001,"33.973616, -118.24902",33.973616,-118.24902,54492,1,Q3,No,0,1,Offer E,No,0.0,No,Yes,DSL,10,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,29.85,29.85,0.0,0,0.0,29.85,3
5575-GNVDE,No,Male,46,No,No,No,No,0,PIYXEN8915,United States,California,Los Angeles,90002,"33.949255, -118.246978",33.949255,-118.246978,44586,1,Q3,No,0,34,,Yes,17.09,No,Yes,DSL,16,Yes,No,Yes,No,No,No,No,Yes,One Year,No,Mailed Check,56.95,1889.5,0.0,0,581.06,2470.56,3
3668-QPYBK,Yes,Male,37,No,No,No,No,0,PZZUIT6837,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,58198,1,Q3,No,0,2,,Yes,10.47,No,Yes,DSL,21,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,53.85,108.15,0.0,0,20.94,129.09,1
7795-CFOCW,No,Male,53,No,No,No,No,0,KVBPAB7894,United States,California,Los Angeles,90004,"34.076259, -118.310715",34.076259,-118.310715,67852,1,Q3,No,0,45,,No,0.0,No,Yes,DSL,10,Yes,No,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,42.3,1840.75,0.0,0,0.0,1840.75,3
9237-HQITU,Yes,Female,19,Yes,No,No,Yes,2,CKNALR2542,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,43019,1,Q3,No,0,2,,Yes,9.12,No,Yes,Fiber Optic,51,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.7,151.65,0.0,0,18.24,169.89000000000001,2
9305-CDSKC,Yes,Female,31,No,No,No,Yes,2,VCQKYE1638,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,62784,1,Q3,No,0,8,,Yes,12.15,Yes,Yes,Cable,26,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.65,820.5,0.0,0,97.2,917.7,3
1452-KIOVK,No,Male,42,No,No,No,Yes,3,LFSFDU3869,United States,California,Los Angeles,90007,"34.027337, -118.28515",34.027337,-118.28515,45025,1,Q3,No,0,22,Offer D,Yes,29.54,Yes,Yes,Fiber Optic,53,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,89.1,1949.4,0.0,0,649.88,2599.28,4
6713-OKOMC,No,Female,42,No,No,No,No,0,WCIGNC4964,United States,California,Los Angeles,90008,"34.008293, -118.346766",34.008293,-118.346766,30852,1,Q3,No,0,10,Offer D,No,0.0,No,Yes,DSL,8,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,29.75,301.9,0.0,0,0.0,301.9,3
7892-POOKP,Yes,Female,23,Yes,No,Yes,Yes,3,SNLISG8671,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,1957,1,Q3,No,0,28,Offer C,Yes,4.89,Yes,Yes,Fiber Optic,47,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.8,3046.05,0.0,0,136.92,3182.9700000000003,3
6388-TABGU,No,Male,48,No,No,No,No,0,FLOWOW7478,United States,California,Los Angeles,90011,"34.00709, -118.258681",34.00709,-118.258681,101215,1,Q3,No,0,62,Offer B,Yes,7.96,No,Yes,DSL,8,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,56.15,3487.95,0.0,0,493.52,3981.47,4
